"Sarampo: casos confirmados por município de residência, estado de São Paulo, 1997.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
County,cases,rate ,death,Letalidade,,,,county,,population
ADAMANTINA,1,3.05,,0.00,,,,ADAMANTINA,14,32766
AGUAI,4,15.17,,0.00,,,,AGUAI,20,26360
AGUDOS,1,3.19,,0.00,,,,AGUDOS,10,31311
ALFREDO MARCONDES,2,55.10,,0.00,,,,ALFREDO MARCONDES,16,3630
ALTINOPOLIS,1,7.20,,0.00,,,,ALTINOPOLIS,18,13888
ALUMINIO,1,7.54,,0.00,,,,ALUMINIO,23,13260
ALVARES MACHADO,2,9.33,,0.00,,,,ALVARES MACHADO,16,21431
AMERICANA,13,7.74,,0.00,,,,AMERICANA,12,167945
AMPARO,13,23.44,,0.00,,,,AMPARO,12,55457
ANDRADINA,1,1.87,,0.00,,,,ANDRADINA,06,53600
ANGATUBA,2,11.16,,0.00,,,,ANGATUBA,23,17914
APARECIDA,3,8.74,,0.00,,,,APARECIDA,24,34318
ARAÇARIGUAMA,8,84.10,,0.00,,,,ARACARIGUAMA,23,9512
ARAÇATUBA,7,4.31,,0.00,,,,ARACATUBA,06,162577
ARAÇOIABA DA SERRA,11,64.23,,0.00,,,,ARACOIABA DA SERRA,23,17125
ARARAQUARA,6,3.56,,0.00,,,,ARARAQUARA,07,168468
ARARAS,24,25.00,,0.00,,,,ARARAS,15,95997
AREIÓPOLIS,1,9.85,,0.00,,,,AREIOPOLIS,11,10151
ARTHUR NOGUEIRA,11,42.28,,0.00,,,,ARTHUR NOGUEIRA,20,26019
ARUJA,14,27.59,,0.00,,,,ARUJA,03,50739
ASSIS,2,2.41,,0.00,,,,ASSIS,08,83133
ATIBAIA,14,14.68,,0.00,,,,ATIBAIA,12,95342
AVARÉ,5,7.19,,0.00,,,,AVARE,11,69580
BADY BASSITT,1,12.25,,0.00,,,,BADY BASSIT,22,8162
BARRA BONITA,6,18.27,,0.00,,,,BARRA BONITA,10,32845
BARRA DO CHAPÉU,1,19.96,,0.00,,,,BARRA DO CHAPEU,23,5009
BARRETOS,8,7.95,,0.00,,,,BARRETOS,09,100646
BARRINHA,9,41.09,,0.00,,,,BARRINHA,18,21905
BARUERI,209,117.91,,0.00,,,,BARUERI,05,177256
BATATAIS,4,8.33,,0.00,,,,BATATAIS,18,47996
BAURÚ,15,5.13,,0.00,,,,BAURU,10,292566
BEBEDOURO,6,8.26,,0.00,,,,BEBEDOURO,09,72633
BERTIOGA,9,52.93,,0.00,,,,BERTIOGA,19,17002
BIRITIBA-MIRIM,3,14.94,,0.00,,,,BIRITIBA-MIRIM,03,20083
BOCAÍNA,1,11.68,,0.00,,,,BOCAINA,10,8561
BOM JESUS DOS PERDÕES,8,73.46,,0.00,,,,BOM JESUS DOS PERDO,12,10890
BORBOREMA,5,40.10,,0.00,,,,BORBOREMA,07,12469
BOTUCATU,10,9.91,,0.00,,,,BOTUCATU,11,100876
BRAGANÇA PAULISTA,21,19.08,,0.00,,,,BRAGANCA PAULISTA,12,110083
