 Imunizações - Cobertura - São Paulo,,,,
Coberturas Vacinais por Município e Imunobiológicos,,,,
Imunobiológicos: Sarampo,,,,
Período:1997,coverage,,,
County,measles routine,,,
350010 Adamantina,108.04,,,
350020 Adolfo,77.55,,,
350030 Aguaí,99.80,,,
350040 Águas da Prata,97.09,,,
350050 Águas de Lindóia,106.37,,,
350055 Águas de Santa Bárbara,67.02,,,
350060 Águas de São Pedro,500.00,,,
350070 Agudos,103.73,,,
350075 Alambari,135.85,,,
350080 Alfredo Marcondes,81.63,,,
350090 Altair,101.41,,,
350100 Altinópolis,137.05,,,
350110 Alto Alegre,95.52,,,
350115 Alumínio,119.14,,,
350120 Álvares Florence,142.86,,,
350130 Álvares Machado,88.13,,,
350140 Álvaro de Carvalho,112.28,,,
350150 Alvinlândia,149.09,,,
350160 Americana,136.68,,,
350170 Américo Brasiliense,93.07,,,
350180 Américo de Campos,95.00,,,
350190 Amparo,94.47,,,
350200 Analândia,104.76,,,
350210 Andradina,112.70,,,
350220 Angatuba,108.64,,,
350230 Anhembi,111.90,,,
350240 Anhumas,132.00,,,
350250 Aparecida,125.78,,,
350260 Aparecida d'Oeste,100.00,,,
350270 Apiaí,131.51,,,
350275 Araçariguama,108.29,,,
350280 Araçatuba,136.87,,,
350290 Araçoiaba da Serra,107.16,,,
350300 Aramina,129.69,,,
350310 Arandu,134.55,,,
350315 Arapeí,164.29,,,
350320 Araraquara,21.48,,,
350330 Araras,106.75,,,
350335 Arco-Íris,140.00,,,
350340 Arealva,107.92,,,
350350 Areias,78.87,,,
350360 Areiópolis,99.56,,,
350370 Ariranha,99.08,,,
350380 Artur Nogueira,113.38,,,
350390 Arujá,136.40,,,
350395 Aspásia,103.85,,,
350400 Assis,125.52,,,
350410 Atibaia,146.32,,,
350420 Auriflama,106.73,,,
350430 Avaí,97.89,,,
350440 Avanhandava,112.21,,,
350450 Avaré,111.16,,,
350460 Bady Bassitt,117.73,,,
350470 Balbinos,62.50,,,
350480 Bálsamo,125.00,,,
350490 Bananal,184.43,,,
350500 Barão de Antonina,134.00,,,
350510 Barbosa,85.53,,,
350520 Bariri,88.97,,,
350530 Barra Bonita,118.59,,,
350535 Barra do Chapéu,104.39,,,
350540 Barra do Turvo,97.52,,,
350550 Barretos,107.22,,,
350560 Barrinha,138.97,,,
350570 Barueri,147.82,,,
350580 Bastos,130.53,,,
350590 Batatais,87.00,,,
350600 Bauru,115.28,,,
350610 Bebedouro,109.23,,,
350620 Bento de Abreu,169.70,,,
350630 Bernardino de Campos,94.71,,,
350635 Bertioga,215.14,,,
350640 Bilac,118.18,,,
350650 Birigui,108.77,,,
350660 Biritiba-Mirim,135.41,,,
350670 Boa Esperança do Sul,93.60,,,
350680 Bocaina,74.36,,,
350690 Bofete,78.23,,,
350700 Boituva,163.04,,,
350710 Bom Jesus dos Perdões,143.71,,,
350715 Bom Sucesso de Itararé,152.00,,,
350720 Borá,228.57,,,
350730 Boracéia,81.94,,,
350740 Borborema,111.73,,,
350745 Borebi,154.84,,,
350750 Botucatu,99.24,,,
350760 Bragança Paulista,116.59,,,
350770 Braúna,140.00,,,
350775 Brejo Alegre,100.00,,,
350780 Brodowski,90.97,,,
350790 Brotas,121.00,,,
350800 Buri,74.16,,,
350810 Buritama,98.05,,,
350820 Buritizal,51.52,,,
350830 Cabrália Paulista,94.90,,,
350840 Cabreúva,81.28,,,
350850 Caçapava,102.84,,,
350860 Cachoeira Paulista,121.23,,,
350870 Caconde,92.03,,,
350880 Cafelândia,117.51,,,
350890 Caiabu,156.10,,,
350900 Caieiras,107.55,,,
350910 Caiuá,136.96,,,
350920 Cajamar,113.79,,,
350925 Cajati,91.85,,,
350930 Cajobi,108.94,,,
350940 Cajuru,155.72,,,
350945 Campina do Monte Alegre,141.00,,,
350950 Campinas,99.53,,,
350960 Campo Limpo Paulista,155.94,,,
350970 Campos do Jordão,134.55,,,
350980 Campos Novos Paulista,104.82,,,
350990 Cananéia,117.56,,,
350995 Canas,110.11,,,
351000 Cândido Mota,86.34,,,
351010 Cândido Rodrigues,145.45,,,
351015 Canitar,104.41,,,
351020 Capão Bonito,157.24,,,
351030 Capela do Alto,97.91,,,
351040 Capivari,111.81,,,
351050 Caraguatatuba,100.00,,,
351060 Carapicuíba,191.17,,,
351070 Cardoso,86.81,,,
351080 Casa Branca,121.45,,,
351090 Cássia dos Coqueiros,68.18,,,
351100 Castilho,95.10,,,
351110 Catanduva,86.15,,,
351120 Catiguá,102.54,,,
351130 Cedral,126.58,,,
351140 Cerqueira César,99.59,,,
351150 Cerquilho,122.64,,,
351160 Cesário Lange,144.08,,,
351170 Charqueada,127.27,,,
355720 Chavantes,111.07,,,
